Key,Page,English,Thai,Armenian,Russian,Arabic,Farsi,Georgian
planAndBilling.yourPlan.plan.downgrade.label,planAndBilling,Your plan will be downgraded to {nextPlan},แผนของคุณจะถูกดาวน์เกรดเป็น {nextPlan},Դուք անցում կկատարեք ավելի ցածր փաթեթի {nextPlan},,,,
planBillingNotification.downgrade.label,planAndBilling,Your plan will be downgraded on the next payment due.  You can continue using the current plan until {date} at {time},แผนของคุณจะถูกดาวน์เกรดในรอบบิลถัดไป  คุณสามารถใช้แผนปัจจุบันได้จนถึงวันที่ {date} เวลา {time},Դուք անցում կկատարեք ավելի ցածր փաթեթի հաջորդ վճարման ժամանակ։ Դուք կարող եք շարունակել օգտագործել ընթացիկ փաթեթը մինչև {date}  {time}-ը։,,,,
planAndBilling.billingDetails.form.zipCode.validation,planAndBilling,You have to type valid zip code,คุณต้องกรอกรหัสไปรษณีย์ที่ถูกต้อง,Դուք պետք է ներմուծեք վավեր zip կոդ,,,,
planAndBilling.billingHistory.paymentStatus.declined,planAndBilling,Payment Declined,การชำระเงินถูกปฏิเสธ,Վճարումը Մերժվել է,,,,
planAndBilling.yourPlan.changePlan.plan.feature.initialInviteEmail,planAndBilling,Initial Invite (Email),การส่งคำเชิญครั้งแรก (อีเมล์),Սկզբնական Հրավեր (Էլ․ Փոստ),,,,
planAndBilling.yourPlan.plan.expired,planAndBilling,Expired,หมดอายุ,Վերջացել է,,,,
planAndBilling.yourPlan.changePlanSuccess.startYourPlanNow,planAndBilling,Start your plan now!,เริ่มใช้แผนใหม่ของคุณได้เลย,Օգտվեք Փաթեթից հիմա՛,,,,
planAndBilling.paymentMethod.card.defaultCard,planAndBilling,Default,ใช้บัตรนี้เป็นบัตรหลัก,Հիմնական քարտ,,,,
planAndBilling.paymentMethod.card.setAsDefaultCard,planAndBilling,Set as Default,ตั้งค่าบัตรนี้เป็นบัตรหลัก,Նշել որպես Հիմնական քարտ,,,,
planBillingNotification.gracePeriod.label,planAndBilling,Your account will expire on {date} due to payment failure. Please <l1>change your payment method.</l1>,บัญชีของคุณจะหมดอายุในวันที่ {date} เนื่องจากการชำระเงินไม่สำเร็จ โปรด <l1>เปลี่ยนวิธีการชำระเงิน.</l1>,Ձեր հաշիվը կփակվի {date} վճարման ձախողման պատճառով։ Խնդրում ենք <l1>փոխեք վճարման եղանակը։</l1>,,,,
planBillingNotification.restrict.label,planAndBilling,Your account has expired due to multiple payment failures. Please <l1>change your payment method</l1> or contact us at support@ifyoucan.com,บัญชีของคุณหมดอายุ เนื่องจากมีการชำระเงินไม่สำเร็จหลายครั้ง.  โปรด <l1>เปลี่ยนวิธีการชำระเงินของคุณ </l1> หรือติดต่อเราที่  support@ifyoucan.com,Ձեր հաշիվը փակվել է վճարման մի քանի ձախողումների պատճառով։ Խնդրում ենք <l1>փոխեք վճարման եղանակը</l1> կամ կապնվեք մեզ հետ support@ifyoucan.com,,,,
planBillingNotification.cancel.label,planAndBilling,Your plan will be canceled on the next payment due. You can continue using the current plan until {date} at {time},แผนของคุณจะถูกยกเลิกในรอบบิลถัดไป.คุณสามารถใช้แผนปัจจุบัน จนถึงวันที่ {date} เวลา {time},Ձեր փաթեթը կչեղարկվի հաջորդ վճարման ժամանակ։ Դուք կարող եք շարունակել օգտագործել ընթացիկ փաթեթը  {date} {time}-ին,,,,
createNotification.dialog.overdraft.dialog.overdraft.limit.title,planAndBilling,Overdraft Notice,แจ้งเตือนยอดการใช้งานเกิน,Օվերդրաֆտի Նախազգուշացում,,,,
createNotification.dialog.overdraft.dialog.overdraft.limit.body,planAndBilling,"We’re sorry! Due to our overdraft policy. You can send overdraft messages up to {limitPercent}% of your <b>{planName}</b> or <b>{planNotesAvailable, number}</b> notifications. You will not be able to send more messages unless you upgrade your account or wait for your renewal period.","ขออภัย เนื่องจากนโยบายการใช้งานเกินจำนวน คุณสามารถส่งการแจ้งเตือนเกินจำนวนสูงสุดไม่เกิน {limitPercent}% ของแผน <b>{planName}</b> หรือ <b>{planNotesAvailable, number}</b> การแจ้งเตือน คุณไม่สามารถส่งการแจ้งเตือนเกินจำนวนนี้ นอกจากคุณจะอัพเกรด หรือ รอรอบการต่ออายุแผนของคุณในรอบถัดไป ","Ցավում ենք։ Օվերդրաֆտի Քաղաքականությունը հիմք ընդունելով՝ Դուք կարող եք ուղարկել օվերդրաֆտ ծանուցումներ Ձեր  ընթացիկ փաթեթի <b>{planName}</b>  կամ  <b>{planNotesAvailable, number}</b> ծանուցումների {limitPercent}%-ի չափով։ Դուք հնարավորություն չեք ունենա ավելին ուղարկելու, եթե անցում չկատարեք ավելի բարձր փաթեթի կամ սպասեք մինչ փաթեթի թարմացման հաջորդ ժամանակահատվածը։ ",,,,
planAndBilling.yourPlan.changePlan.changePaymentMethod.label,planAndBilling,Change Your Payment Method,เปลี่ยนวิธีการชำระเงินของคุณ,Փոխել Վճարման Եղանակը,,تغيير طريقة الدفع الخاصة بك,,
planAndBilling.yourPlan.changePlan.plan.upgrade,planAndBilling,Your Plan upgraded from  {currentPlan} to {nextPlan},แผนของคุณถูกอัพเกรด จาก {currentPlan} เป็น {nextPlan},Ձեր փաթեթը փոփոխվել է  {currentPlan} ից {nextPlan} ի,,تمت ترقية الباقة من { الباقة الحالية} إلى  {الباقة القادمة},,
planAndBilling.yourPlan.plan.canceled.label,planAndBilling,Canceled,ยกเลิก,Չեղարկված,,ألغيت,,
planAndBilling.yourPlan.changePlan.plan.downgrade,planAndBilling,Your Plan downgraded from  {currentPlan} to {nextPlan},แผนของคุณถูกอัพเกรด จาก  {currentPlan} เป็น {nextPlan},Ձեր փաթեթը փոփոխվել է  {currentPlan} ից {nextPlan} ի,,تمت تخفيض الباقة من { الباقة الحالية} إلى  {الباقة القادمة},,
